Id 	Name 	Group 	Rows 	Cols 	Nonzeros 	Kind 	Date 	Download File
2773 	mycielskian17 	Mycielski 	98,303 	98,303 	100,245,742 	Undirected Graph 	2018 	
916 	cage15 	vanHeukelum 	5,154,859 	5,154,859 	99,199,551 	Directed Weighted Graph 	2003 	
1902 	nlpkkt120 	Schenk 	3,542,400 	3,542,400 	95,117,792 	Optimization Problem 	2008 	
2388 	dielFilterV3real 	Dziekonski 	1,102,824 	1,102,824 	89,306,020 	Electromagnetics Problem 	2011 	
2493 	kron_g500-logn20 	DIMACS10 	1,048,576 	1,048,576 	89,239,674 	Undirected Multigraph 	2010 	
2496 	channel-500x100x100-b050 	DIMACS10 	4,802,000 	4,802,000 	85,362,744 	Undirected Graph 	2011 	
2551 	Long_Coup_dt6 	Janna 	1,470,152 	1,470,152 	84,422,970 	Structural Problem 	2012 	
2550 	Long_Coup_dt0 	Janna 	1,470,152 	1,470,152 	84,422,970 	Structural Problem 	2012 	
2446 	ljournal-2008 	LAW 	5,363,260 	5,363,260 	79,023,142 	Directed Graph 	2008 	
1252 	audikw_1 	GHS_psdef 	943,695 	943,695 	77,651,847 	Structural Problem 	2004 	
2801 	mawi_201512020000 	MAWI 	35,991,342 	35,991,342 	74,485,420 	Undirected Weighted Graph 	2015 	
2781 	com-LiveJournal 	SNAP 	3,997,962 	3,997,962 	69,362,378 	Undirected Graph With Communities 	2012 	
2285 	soc-LiveJournal1 	SNAP 	4,847,571 	4,847,571 	68,993,773 	Directed Graph 	2006 	
2843 	vas_stokes_2M 	VLSI 	2,146,677 	2,146,677 	65,129,037 	Semiconductor Process Problem 	2018 	
2541 	Serena 	Janna 	1,391,349 	1,391,349 	64,131,971 	Structural Problem 	2011 	
2482 	hugebubbles-00020 	DIMACS10 	21,198,119 	21,198,119 	63,580,358 	Undirected Graph 	2005 	
2506 	rgg_n_2_22_s0 	DIMACS10 	4,194,304 	4,194,304 	60,718,396 	Undirected Random Graph 	2011 	
2545 	Geo_1438 	Janna 	1,437,960 	1,437,960 	60,236,322 	Structural Problem 	2011 	
2276 	circuit5M 	Freescale 	5,558,326 	5,558,326 	59,524,291 	Circuit Simulation Problem 	2010 	
2546 	Hook_1498 	Janna 	1,498,023 	1,498,023 	59,374,451 	Structural Problem 	2011 	
2481 	hugebubbles-00010 	DIMACS10 	19,458,087 	19,458,087 	58,359,528 	Undirected Graph 	2005 	
2459 	road_usa 	DIMACS10 	23,947,347 	23,947,347 	57,708,624 	Undirected Graph 	2011 	
2854 	GAP-road 	GAP 	23,947,347 	23,947,347 	57,708,624 	Directed Weighted Graph 	2017 	
1842 	wb-edu 	Gleich 	9,845,725 	9,845,725 	57,156,537 	Directed Graph 	2001 	
2480 	hugebubbles-00000 	DIMACS10 	18,318,143 	18,318,143 	54,940,162 	Undirected Graph 	2005 	
1586 	af_shell10 	Schenk_AFE 	1,508,065 	1,508,065 	52,259,885 	Structural Problem 	2006 	
2478 	delaunay_n23 	DIMACS10 	8,388,608 	8,388,608 	50,331,568 	Undirected Graph 	2011 	
2386 	dielFilterV2real 	Dziekonski 	1,157,456 	1,157,456 	48,538,952 	Electromagnetics Problem 	2011 	
2485 	hugetrace-00020 	DIMACS10 	16,002,413 	16,002,413 	47,997,626 	Undirected Graph 	2005 	
1453 	bone010 	Oberwolfach 	986,703 	986,703 	47,851,783 	Model Reduction Problem 	2006 	
1674 	spal_004 	Mittelmann 	10,203 	321,696 	46,168,124 	Linear Programming Problem 	2005 	
1846 	wikipedia-20070206 	Gleich 	3,566,907 	3,566,907 	45,030,389 	Directed Graph 	2007 	
2492 	kron_g500-logn19 	DIMACS10 	524,288 	524,288 	43,562,265 	Undirected Multigraph 	2010 	
1268 	ldoor 	GHS_psdef 	952,203 	952,203 	42,493,817 	Structural Problem 	2004 	
1455 	boneS10 	Oberwolfach 	914,898 	914,898 	40,878,708 	Model Reduction Problem 	2006 	
2833 	Hardesty3 	Hardesty 	8,217,820 	7,591,564 	40,451,632 	Computer Graphics/Vision Problem 	2015 	
2542 	Emilia_923 	Janna 	923,136 	923,136 	40,373,538 	Structural Problem 	2011 	
1845 	wikipedia-20061104 	Gleich 	3,148,440 	3,148,440 	39,383,235 	Directed Graph 	2006 	
2186 	relat9 	JGD_Relat 	12,360,060 	549,336 	38,955,420 	Combinatorial Problem 	2008 	
2800 	mawi_201512012345 	MAWI 	18,571,154 	18,571,154 	38,040,320 	Undirected Weighted Graph 	2015 	
2835 	nv2 	VLSI 	1,453,908 	1,453,908 	37,475,646 	Semiconductor Device Problem 	2018 	
2337 	RM07R 	Fluorem 	381,689 	381,689 	37,464,962 	Computational Fluid Dynamics Problem 	2010 	
1992 	GL7d19 	JGD_GL7d 	1,911,130 	1,955,309 	37,322,725 	Combinatorial Problem 	2008 	
1844 	wikipedia-20060925 	Gleich 	2,983,494 	2,983,494 	37,269,096 	Directed Graph 	2006 	
2661 	PFlow_742 	Janna 	742,793 	742,793 	37,138,461 	2D/3D Problem 	2014 	
1267 	inline_1 	GHS_psdef 	503,712 	503,712 	36,816,170 	Structural Problem 	2004 	
2794 	sx-stackoverflow 	SNAP 	2,601,977 	2,601,977 	36,233,450 	Directed Temporal Multigraph 	2017 	
2484 	hugetrace-00010 	DIMACS10 	12,057,441 	12,057,441 	36,164,358 	Undirected Graph 	2005 	
1991 	GL7d18 	JGD_GL7d 	1,955,309 	1,548,650 	35,590,540 	Combinatorial Problem 	2008 	
2497 	packing-500x100x100-b050 	DIMACS10 	2,145,852 	2,145,852 	34,976,486 	Undirected Graph 	2011 	
2842 	vas_stokes_1M 	VLSI 	1,090,664 	1,090,664 	34,767,207 	Semiconductor Process Problem 	2018 	
2847 	ss 	VLSI 	1,652,680 	1,652,680 	34,753,577 	Semiconductor Process Problem 	2018 	
2458 	road_central 	DIMACS10 	14,081,816 	14,081,816 	33,866,826 	Undirected Graph 	2011 	
2772 	mycielskian16 	Mycielski 	49,151 	49,151 	33,382,480 	Undirected Graph 	2018 	
2387 	dielFilterV3clx 	Dziekonski 	420,408 	420,408 	32,886,208 	Electromagnetics Problem 	2011 	
2463 	coPapersCiteseer 	DIMACS10 	434,102 	434,102 	32,073,440 	Undirected Graph 	2008 	
2789 	soc-Pokec 	SNAP 	1,632,803 	1,632,803 	30,622,564 	Directed Graph 	2012 	
2464 	coPapersDBLP 	DIMACS10 	540,486 	540,486 	30,491,458 	Undirected Graph 	2008 	
1856 	3Dspectralwave 	Sinclair 	680,943 	680,943 	30,290,827 	Materials Problem 	2007 	
1993 	GL7d20 	JGD_GL7d 	1,437,547 	1,911,130 	29,893,084 	Combinatorial Problem 	2008 	
2505 	rgg_n_2_21_s0 	DIMACS10 	2,097,152 	2,097,152 	28,975,990 	Undirected Random Graph 	2011 	
2282 	mouse_gene 	Belcastro 	45,101 	45,101 	28,967,291 	Undirected Weighted Graph 	2010 	
939 	nd24k 	ND 	72,000 	72,000 	28,715,634 	2D/3D Problem 	2003 	
2799 	wiki-topcats 	SNAP 	1,791,489 	1,791,489 	28,511,807 	Directed Graph With Communities 	2011 	
1901 	nlpkkt80 	Schenk 	1,062,400 	1,062,400 	28,192,672 	Optimization Problem 	2008 	
2648 	ML_Laplace 	Janna 	377,002 	377,002 	27,582,698 	Structural Problem 	2012 	
2495 	adaptive 	DIMACS10 	6,815,744 	6,815,744 	27,248,640 	Undirected Graph 	2011 	
2543 	Fault_639 	Janna 	638,802 	638,802 	27,245,944 	Structural Problem 	2011 	
915 	cage14 	vanHeukelum 	1,505,785 	1,505,785 	27,130,349 	Directed Weighted Graph 	2003 	
1411 	F1 	Koutsovasilis 	343,791 	343,791 	26,837,113 	Structural Problem 	2006 	
2380 	FullChip 	Freescale 	2,987,012 	2,987,012 	26,621,983 	Circuit Simulation Problem 	2011 	
2841 	dgreen 	VLSI 	1,200,611 	1,200,611 	26,606,169 	Semiconductor Device Problem 	2018 	
2573 	CurlCurl_4 	Bodendiek 	2,380,515 	2,380,515 	26,515,867 	Model Reduction Problem 	2012 	
1990 	GL7d17 	JGD_GL7d 	1,548,650 	955,128 	25,978,098 	Combinatorial Problem 	2008 	
2509 	asia_osm 	DIMACS10 	11,950,757 	11,950,757 	25,423,206 	Undirected Graph 	2010 	
2385 	dielFilterV2clx 	Dziekonski 	607,232 	607,232 	25,309,272 	Electromagnetics Problem 	2011 	
2477 	delaunay_n22 	DIMACS10 	4,194,304 	4,194,304 	25,165,738 	Undirected Graph 	2011 	
2581 	NLR 	DIMACS10 	4,163,763 	4,163,763 	24,975,952 	Undirected Graph 	2011 	
2512 	germany_osm 	DIMACS10 	11,548,845 	11,548,845 	24,738,362 	Undirected Graph 	2010 	
2280 	human_gene1 	Belcastro 	22,283 	22,283 	24,669,643 	Undirected Weighted Graph 	2010 	
2178 	rel9 	JGD_Relat 	9,888,048 	274,669 	23,667,183 	Combinatorial Problem 	2008 	
2649 	Transport 	Janna 	1,602,111 	1,602,111 	23,487,281 	Structural Problem 	2012 	
2578 	AS365 	DIMACS10 	3,799,275 	3,799,275 	22,736,152 	Undirected Graph 	2011 	
2263 	12month1 	Buss 	12,471 	872,622 	22,624,727 	Undirected Bipartite Graph 	2009 	
2577 	333SP 	DIMACS10 	3,712,815 	3,712,815 	22,217,266 	Undirected Graph 	2011 	
2321 	as-Skitter 	SNAP 	1,696,415 	1,696,415 	22,190,596 	Undirected Graph 	2005 	
2329 	gsm_106857 	Dziekonski 	589,446 	589,446 	21,758,924 	Electromagnetics Problem 	2010 	
2488 	hugetric-00020 	DIMACS10 	7,122,792 	7,122,792 	21,361,554 	Undirected Graph 	2005 	
2491 	kron_g500-logn18 	DIMACS10 	262,144 	262,144 	21,165,908 	Undirected Multigraph 	2010 	
2547 	StocF-1465 	Janna 	1,465,137 	1,465,137 	21,005,389 	Computational Fluid Dynamics Problem 	2011 	
2579 	M6 	DIMACS10 	3,501,776 	3,501,776 	21,003,872 	Undirected Graph 	2011 	
1398 	rajat31 	Rajat 	4,690,002 	4,690,002 	20,316,253 	Circuit Simulation Problem 	2006 	
2246 	fem_hifreq_circuit 	Lee 	491,100 	491,100 	20,239,237 	Electromagnetics Problem 	2009 	
2664 	bundle_adj 	Mazaheri 	513,351 	513,351 	20,207,907 	Computer Vision Problem 	2015 	
2487 	hugetric-00010 	DIMACS10 	6,592,765 	6,592,765 	19,771,708 	Undirected Graph 	2005 	
1843 	wikipedia-20051105 	Gleich 	1,634,989 	1,634,989 	19,753,078 	Directed Graph 	2005 	
2443 	eu-2005 	LAW 	862,664 	862,664 	19,235,140 	Directed Graph 	2005 	
1644 	msdoor 	INPRO 	415,863 	415,863 	19,173,163 	Structural Problem 	2005 	
1353 	Ga41As41H72 	PARSEC 	268,096 	268,096 	18,488,476 	Theoretical/Quantum Chemistry Problem 	2005 	
1994 	GL7d21 	JGD_GL7d 	822,922 	1,437,547 	18,174,775 	Combinatorial Problem 	2008 	
2281 	human_gene2 	Belcastro 	14,340 	14,340 	18,068,388 	Undirected Weighted Graph 	2010 	
948 	af_shell9 	Schenk_AFE 	504,855 	504,855 	17,588,845 	Subsequent Structural Problem 	2003 	
944 	af_shell5 	Schenk_AFE 	504,855 	504,855 	17,579,155 	Subsequent Structural Problem 	2003 	
945 	af_shell6 	Schenk_AFE 	504,855 	504,855 	17,579,155 	Subsequent Structural Problem 	2003 	
947 	af_shell8 	Schenk_AFE 	504,855 	504,855 	17,579,155 	Subsequent Structural Problem 	2003 	
946 	af_shell7 	Schenk_AFE 	504,855 	504,855 	17,579,155 	Subsequent Structural Problem 	2003 	
940 	af_shell1 	Schenk_AFE 	504,855 	504,855 	17,562,051 	Structural Problem Sequence 	2003 	
942 	af_shell3 	Schenk_AFE 	504,855 	504,855 	17,562,051 	Subsequent Structural Problem 	2003 	
943 	af_shell4 	Schenk_AFE 	504,855 	504,855 	17,562,051 	Subsequent Structural Problem 	2003 	
941 	af_shell2 	Schenk_AFE 	504,855 	504,855 	17,562,051 	Subsequent Structural Problem 	2003 	
1583 	af_3_k101 	Schenk_AFE 	503,625 	503,625 	17,550,675 	Structural Problem 	2006 	
1585 	af_5_k101 	Schenk_AFE 	503,625 	503,625 	17,550,675 	Structural Problem 	2006 	
1582 	af_2_k101 	Schenk_AFE 	503,625 	503,625 	17,550,675 	Structural Problem 	2006 	
1580 	af_0_k101 	Schenk_AFE 	503,625 	503,625 	17,550,675 	Structural Problem 	2006 	
1584 	af_4_k101 	Schenk_AFE 	503,625 	503,625 	17,550,675 	Structural Problem 	2006 	
1581 	af_1_k101 	Schenk_AFE 	503,625 	503,625 	17,550,675 	Structural Problem 	2006 	
2486 	hugetric-00000 	DIMACS10 	5,824,554 	5,824,554 	17,467,046 	Undirected Graph 	2005 	
2647 	CoupCons3D 	Janna 	416,800 	416,800 	17,277,420 	Structural Problem 	2012 	
2216 	Freescale1 	Freescale 	3,428,755 	3,428,755 	17,052,626 	Circuit Simulation Problem 	2008 	
2442 	in-2004 	LAW 	1,382,908 	1,382,908 	16,917,053 	Directed Graph 	2004 	
2294 	cit-Patents 	SNAP 	3,774,768 	3,774,768 	16,518,948 	Directed Graph 	1999 	
2513 	great-britain_osm 	DIMACS10 	7,733,822 	7,733,822 	16,313,034 	Undirected Graph 	2010 	
2219 	TSOPF_RS_b2383 	TSOPF 	38,120 	38,120 	16,171,169 	Power Network Problem 	2009 	
2236 	TSOPF_RS_b2383_c1 	TSOPF 	38,120 	38,120 	16,171,169 	Power Network Problem 	2009 	
2498 	venturiLevel3 	DIMACS10 	4,026,819 	4,026,819 	16,108,474 	Undirected Graph 	2011 	
1362 	Si41Ge41H72 	PARSEC 	185,639 	185,639 	15,011,265 	Theoretical/Quantum Chemistry Problem 	2005 	
1514 	patents 	Pajek 	3,774,768 	3,774,768 	14,970,767 	Directed Graph 	2001 	
2277 	circuit5M_dc 	Freescale 	3,523,317 	3,523,317 	14,865,409 	Circuit Simulation Problem 	2010 	
2786 	higgs-twitter 	SNAP 	456,626 	456,626 	14,855,842 	Directed Temporal Multigraph 	2015 	
860 	pkustk14 	Chen 	151,926 	151,926 	14,836,504 	Structural Problem 	2002 	
1989 	GL7d16 	JGD_GL7d 	955,128 	460,261 	14,488,881 	Combinatorial Problem 	2008 	
2662 	Freescale2 	Freescale 	2,999,349 	2,999,349 	14,313,235 	Circuit Simulation Matrix 	2015 	
938 	nd12k 	ND 	36,000 	36,000 	14,220,946 	2D/3D Problem 	2003 	
1258 	crankseg_2 	GHS_psdef 	63,838 	63,838 	14,148,858 	Structural Problem 	2004 	
2514 	italy_osm 	DIMACS10 	6,686,493 	6,686,493 	14,027,956 	Undirected Graph 	2010 	
2504 	rgg_n_2_20_s0 	DIMACS10 	1,048,576 	1,048,576 	13,783,240 	Undirected Random Graph 	2011 	
2483 	hugetrace-00000 	DIMACS10 	4,588,484 	4,588,484 	13,758,266 	Undirected Graph 	2005 	
2757 	JP 	Harvard_Seismology 	87,616 	67,320 	13,734,559 	Tomography Problem 	2015 	
2572 	CurlCurl_3 	Bodendiek 	1,219,574 	1,219,574 	13,544,618 	Model Reduction Problem 	2012 	
2274 	memchip 	Freescale 	2,707,524 	2,707,524 	13,343,948 	Circuit Simulation Problem 	2010 	
1850 	BenElechi1 	BenElechi 	245,874 	245,874 	13,150,496 	2D/3D Problem 	2007 	
2226 	TSOPF_FS_b300_c3 	TSOPF 	84,414 	84,414 	13,135,930 	Power Network Problem 	2009 	
1857 	3Dspectralwave2 	Sinclair 	292,008 	292,008 	12,935,272 	Materials Problem 	2007 	
1876 	kkt_power 	Zaoui 	2,063,494 	2,063,494 	12,771,361 	Optimization Problem 	2007 	
2476 	delaunay_n21 	DIMACS10 	2,097,152 	2,097,152 	12,582,816 	Undirected Graph 	2011 	
1265 	halfb 	DNVS 	224,617 	224,617 	12,387,821 	Structural Problem 	2004 	
2831 	Hardesty1 	Hardesty 	938,905 	938,905 	12,143,314 	Computer Graphics/Vision Problem 	2013 	
1285 	troll 	DNVS 	213,453 	213,453 	11,985,111 	Structural Problem 	2004 	
1264 	fullb 	DNVS 	199,187 	199,187 	11,708,077 	Structural Problem 	2004 	
1814 	tp-6 	Meszaros 	142,752 	1,014,301 	11,537,419 	Linear Programming Problem 	2006 	
369 	pwtk 	Boeing 	217,918 	217,918 	11,524,432 	Structural Problem 	1995 	
863 	kim2 	Kim 	456,976 	456,976 	11,330,020 	2D/3D Problem 	2002 	
1260 	fcondp2 	DNVS 	201,822 	201,822 	11,294,316 	Structural Problem 	2004 	
1219 	bmw3_2 	GHS_indef 	227,362 	227,362 	11,288,630 	Structural Problem 	2004 	
1658 	rail4284 	Mittelmann 	4,284 	1,096,894 	11,284,032 	Linear Programming Problem 	2005 	
1367 	SiO2 	PARSEC 	155,331 	155,331 	11,283,503 	Theoretical/Quantum Chemistry Problem 	2005 	
2771 	mycielskian15 	Mycielski 	24,575 	24,575 	11,111,110 	Undirected Graph 	2018 	
1364 	Si87H76 	PARSEC 	240,369 	240,369 	10,661,631 	Theoretical/Quantum Chemistry Problem 	2005 	
1254 	bmwcra_1 	GHS_psdef 	148,770 	148,770 	10,641,602 	Structural Problem 	2004 	
1257 	crankseg_1 	GHS_psdef 	52,804 	52,804 	10,614,210 	Structural Problem 	2004 	
1385 	mip1 	Andrianov 	66,463 	66,463 	10,352,819 	Optimization Problem 	2006 	
2268 	atmosmodm 	Bourchtein 	1,489,752 	1,489,752 	10,319,760 	Computational Fluid Dynamics Problem 	2009 	
2267 	atmosmodl 	Bourchtein 	1,489,752 	1,489,752 	10,319,760 	Computational Fluid Dynamics Problem 	2009 	
2490 	kron_g500-logn17 	DIMACS10 	131,072 	131,072 	10,228,360 	Undirected Multigraph 	2010 	
1266 	hood 	GHS_psdef 	220,542 	220,542 	9,895,422 	Structural Problem 	2004 	
2330 	flickr 	Gleich 	820,878 	820,878 	9,837,214 	Directed Graph 	2010 	
1269 	m_t1 	DNVS 	97,578 	97,578 	9,753,570 	Structural Problem 	1999 	
2840 	test1 	VLSI 	392,908 	392,908 	9,447,535 	Semiconductor Device Problem 	2018 	
1393 	pattern1 	Andrianov 	19,242 	19,242 	9,323,432 	Optimization Problem 	2006 	
538 	gupta3 	Gupta 	16,783 	16,783 	9,323,427 	Optimization Problem 	1996 	
806 	gearbox 	Rothberg 	153,746 	153,746 	9,080,404 	Structural Problem 	1997 	
1937 	bibd_22_8 	JGD_BIBD 	231 	319,770 	8,953,560 	Combinatorial Problem 	2008 	
2571 	CurlCurl_2 	Bodendiek 	806,529 	806,529 	8,921,789 	Model Reduction Problem 	2012 	
1351 	Ga19As19H42 	PARSEC 	133,123 	133,123 	8,884,839 	Theoretical/Quantum Chemistry Problem 	2005 	
2266 	atmosmodj 	Bourchtein 	1,270,432 	1,270,432 	8,814,880 	Computational Fluid Dynamics Problem 	2009 	
2265 	atmosmodd 	Bourchtein 	1,270,432 	1,270,432 	8,814,880 	Computational Fluid Dynamics Problem 	2009 	
2244 	TSOPF_RS_b678_c2 	TSOPF 	35,696 	35,696 	8,781,949 	Power Network Problem 	2009 	
2225 	TSOPF_FS_b300_c2 	TSOPF 	56,814 	56,814 	8,767,466 	Power Network Problem 	2009 	
1290 	x104 	DNVS 	108,384 	108,384 	8,713,602 	Structural Problem 	1999 	
1403 	thermal2 	Schmid 	1,228,045 	1,228,045 	8,580,313 	Thermal Problem 	2006 	
896 	torso1 	Norris 	116,158 	116,158 	8,516,500 	2D/3D Problem 	2003 	
1356 	Ge99H100 	PARSEC 	112,985 	112,985 	8,451,395 	Theoretical/Quantum Chemistry Problem 	2005 	
1936 	bibd_20_10 	JGD_BIBD 	190 	184,756 	8,314,020 	Combinatorial Problem 	2008 	
1995 	GL7d22 	JGD_GL7d 	349,443 	822,922 	8,251,000 	Combinatorial Problem 	2008 	
2336 	PR02R 	Fluorem 	161,070 	161,070 	8,185,136 	Computational Fluid Dynamics Problem 	2010 	
1812 	degme 	Meszaros 	185,501 	659,415 	8,127,528 	Linear Programming Problem 	2006 	
1657 	rail2586 	Mittelmann 	2,586 	923,269 	8,011,362 	Linear Programming Problem 	2005 	
1355 	Ge87H76 	PARSEC 	112,985 	112,985 	7,892,195 	Theoretical/Quantum Chemistry Problem 	2005 	
2813 	TEM181302 	Guettel 	181,302 	181,302 	7,839,010 	Electromagnetics Problem 	2015 	
1881 	Rucci1 	Rucci 	1,977,885 	109,900 	7,791,168 	Least Squares Problem 	2007 	
1349 	CO 	PARSEC 	221,119 	221,119 	7,666,057 	Theoretical/Quantum Chemistry Problem 	2005 	
1421 	G3_circuit 	AMD 	1,585,478 	1,585,478 	7,660,826 	Circuit Simulation Problem 	2006 	
2658 	specular 	Brogan 	477,976 	1,600 	7,647,040 	Computer Vision Problem 	2014 	
2300 	web-BerkStan 	SNAP 	685,230 	685,230 	7,600,595 	Directed Graph 	2002 	
980 	Stanford_Berkeley 	Kamvar 	683,446 	683,446 	7,583,376 	Directed Graph 	2003 	
858 	pkustk12 	Chen 	94,653 	94,653 	7,512,317 	Structural Problem 	2002 	
914 	cage13 	vanHeukelum 	445,315 	445,315 	7,479,343 	Directed Weighted Graph 	2003 	
1253 	bmw7st_1 	GHS_psdef 	141,347 	141,347 	7,318,399 	Structural Problem 	2004 	
1664 	cont1_l 	Mittelmann 	1,918,399 	1,921,596 	7,031,999 	Linear Programming Problem 	2005 	
937 	nd6k 	ND 	18,000 	18,000 	6,897,316 	2D/3D Problem 	2003 	
971 	ohne2 	Schenk_ISEI 	181,343 	181,343 	6,869,939 	Semiconductor Device Problem 	2003 	
2218 	sls 	Bates 	1,748,122 	62,729 	6,804,304 	Least Squares Problem 	2008 	
2235 	TSOPF_RS_b2052_c1 	TSOPF 	25,626 	25,626 	6,761,100 	Power Network Problem 	2009 	
2519 	auto 	DIMACS10 	448,695 	448,695 	6,629,222 	Undirected Graph 	2000 	
859 	pkustk13 	Chen 	94,893 	94,893 	6,616,827 	Structural Problem 	2002 	
2503 	rgg_n_2_19_s0 	DIMACS10 	524,288 	524,288 	6,539,532 	Undirected Random Graph 	2011 	
2812 	TEM152078 	Guettel 	152,078 	152,078 	6,459,326 	Electromagnetics Problem 	2015 	
2558 	Chevron4 	Chevron 	711,450 	711,450 	6,376,412 	2D/3D Problem 	2012 	
2475 	delaunay_n20 	DIMACS10 	1,048,576 	1,048,576 	6,291,372 	Undirected Graph 	2011 	
2580 	NACA0015 	DIMACS10 	1,039,183 	1,039,183 	6,229,636 	Undirected Graph 	2011 	
2849 	marine1 	Martin 	400,320 	400,320 	6,226,538 	Chemical Oceanography Problem 	2018 	
1397 	rajat30 	Rajat 	643,994 	643,994 	6,175,244 	Circuit Simulation Problem 	2006 	
1350 	Ga10As10H30 	PARSEC 	113,081 	113,081 	6,115,633 	Theoretical/Quantum Chemistry Problem 	2005 	
